,ID_昼お魚,name_昼お魚,曜日,個数,周辺平均,人気度,基本数
2022-01-27,,カレイの唐揚げ,3.0,110.0,91.21212121212122,1.1,99.99999999999999
2022-01-28,,サバ塩麴焼き,4.0,80.0,71.59722222222221,1.1,72.72727272727272
2022-01-31,,さばのみりん焼き　60ｇ,0.0,62.0,72.61363636363636,0.9,68.88888888888889
2022-02-01,,白身魚南蛮漬け,1.0,124.0,105.60353535353535,1.1,112.72727272727272
2022-02-02,,黄金カレイ煮付け,2.0,84.0,77.37373737373737,1.0856396866840732,76.36363636363636
2022-02-03,,さばの味噌煮　60ｇ,3.0,90.0,92.0,0.9782608695652174,92.0
2022-02-04,,あじの塩こうじ焼き　60ｇ,4.0,80.0,69.34343434343434,1.1,73.5
2022-02-07,,赤魚の西京焼き　60g,0.0,68.0,73.11447811447812,0.9300483536725765,75.33333333333333
2022-02-08,,鮭の塩焼き,1.0,106.0,108.50168350168349,0.976943366951125,106.0
2022-02-09,,あじの塩こうじ焼き　60ｇ,2.0,70.0,78.24915824915824,0.9,77.77777777777777
2022-02-10,,さば南蛮漬け,3.0,102.0,95.1111111111111,1.0724299065420562,94.66666666666667
2022-02-11,,黄金ガレイの塩麴焼き,4.0,50.0,71.77272727272727,0.9,55.55555555555556
2022-02-14,,さばの味噌煮　60ｇ,0.0,70.0,72.11111111111111,0.9707241910631741,65.0
2022-02-15,,さわら塩麴焼き,1.0,106.0,109.36363636363636,0.9692435577722361,115.0
2022-02-16,,黄金カレイ煮付け,2.0,64.0,77.07070707070707,0.9,71.11111111111111
2022-02-17,,赤魚の西京焼き　60g,3.0,84.0,93.33333333333334,0.9,93.33333333333333
2022-02-18,,サバの塩焼き,4.0,76.0,64.52777777777777,1.1,69.09090909090908
